time(s);keff(-);power(W);flux0;flux1;flux2;flux3;flux4;flux5(m-2s-1);TFuel_Max;Avg;Min;TCladding_Max;Avg;Min;

0.001;0.930537;1.8341;0.30568;0.30568;0.30568;0.30568;0.30568;0.30568;0;0;0;0;0;0;
0.002199951992;0.930537;1.8341;0.30568;0.30568;0.30568;0.30568;0.30568;0.30568;0;0;0;0;0;0;
0.003639825242;0.930537;1.8341;0.30568;0.30568;0.30568;0.30568;0.30568;0.30568;0;0;0;0;0;0;
0.005367473988;0.930537;1.8341;0.30568;0.30568;0.30568;0.30568;0.30568;0.30568;0;0;0;0;0;0;
0.007440795917;0.930537;1.8341;0.30568;0.30568;0.30568;0.30568;0.30568;0.30568;0;0;0;0;0;0;
0.009928369013;0.930537;1.8341;0.30568;0.30568;0.30568;0.30568;0.30568;0.30568;0;0;0;0;0;0;
0.01291286162;0.930537;1.8341;0.30568;0.30568;0.30568;0.30568;0.30568;0.30568;0;0;0;0;0;0;
0.01649296724;0.930537;1.8341;0.30568;0.30568;0.30568;0.30568;0.30568;0.30568;0;0;0;0;0;0;
0.02078909399;0.930537;1.8341;0.30568;0.30568;0.30568;0.30568;0.30568;0.30568;0;0;0;0;0;0;
0.02594355663;0.930537;1.8341;0.30568;0.30568;0.30568;0.30568;0.30568;0.30568;0;0;0;0;0;0;
0.032130194;0.930537;1.8341;0.30568;0.30568;0.30568;0.30568;0.30568;0.30568;0;0;0;0;0;0;
0.03955600836;0.930537;1.8341;0.30568;0.30568;0.30568;0.30568;0.30568;0.30568;0;0;0;0;0;0;
0.04846165287;0.930537;1.8341;0.30568;0.30568;0.30568;0.30568;0.30568;0.30568;0;0;0;0;0;0;
0.05915612014;0.930537;1.8341;0.30568;0.30568;0.30568;0.30568;0.30568;0.30568;0;0;0;0;0;0;
0.07198948086;0.930537;1.8341;0.30568;0.30568;0.30568;0.30568;0.30568;0.30568;0;0;0;0;0;0;
0.08738951374;0.930537;1.8341;0.30568;0.30568;0.30568;0.30568;0.30568;0.30568;0;0;0;0;0;0;
0.1058579742;0.930537;1.8341;0.30568;0.30568;0.30568;0.30568;0.30568;0.30568;0;0;0;0;0;0;
0.1280034132;0.930537;1.8341;0.30568;0.30568;0.30568;0.30568;0.30568;0.30568;0;0;0;0;0;0;
0.1546263454;0.930537;1.8341;0.30568;0.30568;0.30568;0.30568;0.30568;0.30568;0;0;0;0;0;0;
0.1865038037;0.930537;1.8341;0.30568;0.30568;0.30568;0.30568;0.30568;0.30568;0;0;0;0;0;0;
0.2241092427;0.930537;1.8341;0.30568;0.30568;0.30568;0.30568;0.30568;0.30568;0;0;0;0;0;0;
0.2671352856;0.930537;1.8341;0.30568;0.30568;0.30568;0.30568;0.30568;0.30568;0;0;0;0;0;0;
0.3149419998;0.930537;1.8341;0.30568;0.30568;0.30568;0.30568;0.30568;0.30568;0;0;0;0;0;0;
0.3599906345;0.930537;1.8341;0.30568;0.30568;0.30568;0.30568;0.30568;0.30568;0;0;0;0;0;0;
0.3993127477;0.930537;1.8341;0.30568;0.30568;0.30568;0.30568;0.30568;0.30568;0;0;0;0;0;0;
0.434166439;0.930537;1.8341;0.30568;0.30568;0.30568;0.30568;0.30568;0.30568;0;0;0;0;0;0;
0.4658736165;0.930537;1.8341;0.30568;0.30568;0.30568;0.30568;0.30568;0.30568;0;0;0;0;0;0;
0.4951260448;0.930537;1.8341;0.30568;0.30568;0.30568;0.30568;0.30568;0.30568;0;0;0;0;0;0;
0.5225947884;0.930537;1.8341;0.30568;0.30568;0.30568;0.30568;0.30568;0.30568;0;0;0;0;0;0;
0.5486262141;0.930537;1.8341;0.30568;0.30568;0.30568;0.30568;0.30568;0.30568;0;0;0;0;0;0;
0.5734942241;0.930537;1.8341;0.30568;0.30568;0.30568;0.30568;0.30568;0.30568;0;0;0;0;0;0;
0.5974212823;0.930537;1.8341;0.30568;0.30568;0.30568;0.30568;0.30568;0.30568;0;0;0;0;0;0;
0.6207153496;0.930537;1.8341;0.30568;0.30568;0.30568;0.30568;0.30568;0.30568;0;0;0;0;0;0;
0.6432889818;0.930537;1.8341;0.30568;0.30568;0.30568;0.30568;0.30568;0.30568;0;0;0;0;0;0;
0.6654042662;0.930537;1.8341;0.30568;0.30568;0.30568;0.30568;0.30568;0.30568;0;0;0;0;0;0;
0.6870772449;0.930537;1.8341;0.30568;0.30568;0.30568;0.30568;0.30568;0.30568;0;0;0;0;0;0;
0.7083231698;0.930537;1.8341;0.30568;0.30568;0.30568;0.30568;0.30568;0.30568;0;0;0;0;0;0;
0.7291565524;0.930537;1.8341;0.30568;0.30568;0.30568;0.30568;0.30568;0.30568;0;0;0;0;0;0;
0.7496894536;0.930537;1.8341;0.30568;0.30568;0.30568;0.30568;0.30568;0.30568;0;0;0;0;0;0;
0.7699290277;0.930537;1.8341;0.30568;0.30568;0.30568;0.30568;0.30568;0.30568;0;0;0;0;0;0;
0.7899767574;0.930537;1.8341;0.30568;0.30568;0.30568;0.30568;0.30568;0.30568;0;0;0;0;0;0;
0.8097421247;0.930537;1.8341;0.30568;0.30568;0.30568;0.30568;0.30568;0.30568;0;0;0;0;0;0;
0.829322769;0.930537;1.8341;0.30568;0.30568;0.30568;0.30568;0.30568;0.30568;0;0;0;0;0;0;
0.8487212677;0.930537;1.8341;0.30568;0.30568;0.30568;0.30568;0.30568;0.30568;0;0;0;0;0;0;
0.8679401508;0.930537;1.8341;0.30568;0.30568;0.30568;0.30568;0.30568;0.30568;0;0;0;0;0;0;
0.8869819012;0.930537;1.8341;0.30568;0.30568;0.30568;0.30568;0.30568;0.30568;0;0;0;0;0;0;
0.9059359017;0.930537;1.8341;0.30568;0.30568;0.30568;0.30568;0.30568;0.30568;0;0;0;0;0;0;
0.9247160122;0.930537;1.8341;0.30568;0.30568;0.30568;0.30568;0.30568;0.30568;0;0;0;0;0;0;
0.9434099755;0.930537;1.8341;0.30568;0.30568;0.30568;0.30568;0.30568;0.30568;0;0;0;0;0;0;
0.9619332176;0.930537;1.8341;0.30568;0.30568;0.30568;0.30568;0.30568;0.30568;0;0;0;0;0;0;
0.9803718787;0.930537;1.8341;0.30568;0.30568;0.30568;0.30568;0.30568;0.30568;0;0;0;0;0;0;
0.998726345;0.930537;1.8341;0.30568;0.30568;0.30568;0.30568;0.30568;0.30568;0;0;0;0;0;0;
1.016997001;0.930537;1.8341;0.30568;0.30568;0.30568;0.30568;0.30568;0.30568;0;0;0;0;0;0;
1.035184229;0.930537;1.8341;0.30568;0.30568;0.30568;0.30568;0.30568;0.30568;0;0;0;0;0;0;
1.053288411;0.930537;1.8341;0.30568;0.30568;0.30568;0.30568;0.30568;0.30568;0;0;0;0;0;0;
1.071392592;0.930537;1.8341;0.30568;0.30568;0.30568;0.30568;0.30568;0.30568;0;0;0;0;0;0;
1.089413727;0.930537;1.8341;0.30568;0.30568;0.30568;0.30568;0.30568;0.30568;0;0;0;0;0;0;
1.107352197;0.930537;1.8341;0.30568;0.30568;0.30568;0.30568;0.30568;0.30568;0;0;0;0;0;0;
1.125208379;0.930537;1.8341;0.30568;0.30568;0.30568;0.30568;0.30568;0.30568;0;0;0;0;0;0;
1.143064562;0.930537;1.8341;0.30568;0.30568;0.30568;0.30568;0.30568;0.30568;0;0;0;0;0;0;
1.160838458;0.930537;1.8341;0.30568;0.30568;0.30568;0.30568;0.30568;0.30568;0;0;0;0;0;0;
1.178612354;0.930537;1.8341;0.30568;0.30568;0.30568;0.30568;0.30568;0.30568;0;0;0;0;0;0;
1.196303963;0.930537;1.8341;0.30568;0.30568;0.30568;0.30568;0.30568;0.30568;0;0;0;0;0;0;
1.213913667;0.930537;1.8341;0.30568;0.30568;0.30568;0.30568;0.30568;0.30568;0;0;0;0;0;0;
1.231523371;0.930537;1.8341;0.30568;0.30568;0.30568;0.30568;0.30568;0.30568;0;0;0;0;0;0;
1.249133075;0.930537;1.8341;0.30568;0.30568;0.30568;0.30568;0.30568;0.30568;0;0;0;0;0;0;
1.26666049;0.930537;1.8341;0.30568;0.30568;0.30568;0.30568;0.30568;0.30568;0;0;0;0;0;0;
1.284187906;0.930537;1.8341;0.30568;0.30568;0.30568;0.30568;0.30568;0.30568;0;0;0;0;0;0;
1.301633033;0.930537;1.8341;0.30568;0.30568;0.30568;0.30568;0.30568;0.30568;0;0;0;0;0;0;
1.31907816;0.930537;1.8341;0.30568;0.30568;0.30568;0.30568;0.30568;0.30568;0;0;0;0;0;0;
1.336523288;0.930537;1.8341;0.30568;0.30568;0.30568;0.30568;0.30568;0.30568;0;0;0;0;0;0;
1.353885736;0.930537;1.8341;0.30568;0.30568;0.30568;0.30568;0.30568;0.30568;0;0;0;0;0;0;
1.371248185;0.930537;1.8341;0.30568;0.30568;0.30568;0.30568;0.30568;0.30568;0;0;0;0;0;0;
1.388610634;0.930537;1.8341;0.30568;0.30568;0.30568;0.30568;0.30568;0.30568;0;0;0;0;0;0;
1.405973083;0.930537;1.8341;0.30568;0.30568;0.30568;0.30568;0.30568;0.30568;0;0;0;0;0;0;
1.423252059;0.930537;1.8341;0.30568;0.30568;0.30568;0.30568;0.30568;0.30568;0;0;0;0;0;0;
1.440531034;0.930537;1.8341;0.30568;0.30568;0.30568;0.30568;0.30568;0.30568;0;0;0;0;0;0;
1.45781001;0.930537;1.8341;0.30568;0.30568;0.30568;0.30568;0.30568;0.30568;0;0;0;0;0;0;
1.475088985;0.930537;1.8341;0.30568;0.30568;0.30568;0.30568;0.30568;0.30568;0;0;0;0;0;0;
1.492367961;0.930537;1.8341;0.30568;0.30568;0.30568;0.30568;0.30568;0.30568;0;0;0;0;0;0;
1.509646936;0.930537;1.8341;0.30568;0.30568;0.30568;0.30568;0.30568;0.30568;0;0;0;0;0;0;
1.526925912;0.930537;1.8341;0.30568;0.30568;0.30568;0.30568;0.30568;0.30568;0;0;0;0;0;0;
1.544119348;0.930537;1.8341;0.30568;0.30568;0.30568;0.30568;0.30568;0.30568;0;0;0;0;0;0;
1.561312784;0.930537;1.8341;0.30568;0.30568;0.30568;0.30568;0.30568;0.30568;0;0;0;0;0;0;
1.57850622;0.930537;1.8341;0.30568;0.30568;0.30568;0.30568;0.30568;0.30568;0;0;0;0;0;0;
1.595699656;0.930537;1.8341;0.30568;0.30568;0.30568;0.30568;0.30568;0.30568;0;0;0;0;0;0;
1.612893092;0.930537;1.8341;0.30568;0.30568;0.30568;0.30568;0.30568;0.30568;0;0;0;0;0;0;
1.630086528;0.930537;1.8341;0.30568;0.30568;0.30568;0.30568;0.30568;0.30568;0;0;0;0;0;0;
1.647279965;0.930537;1.8341;0.30568;0.30568;0.30568;0.30568;0.30568;0.30568;0;0;0;0;0;0;
1.664473401;0.930537;1.8341;0.30568;0.30568;0.30568;0.30568;0.30568;0.30568;0;0;0;0;0;0;
1.681666837;0.930537;1.8341;0.30568;0.30568;0.30568;0.30568;0.30568;0.30568;0;0;0;0;0;0;
1.698860273;0.930537;1.8341;0.30568;0.30568;0.30568;0.30568;0.30568;0.30568;0;0;0;0;0;0;
1.716053709;0.930537;1.8341;0.30568;0.30568;0.30568;0.30568;0.30568;0.30568;0;0;0;0;0;0;
