time(s);keff(-);power(W);flux0;flux1;flux2;flux3;flux4;flux5(m-2s-1);TFuel_Max;Avg;Min;TCladding_Max;Avg;Min;

5.25;0.457903;2e+07;1.9746e+17;4.7079e+17;9.0411e+17;4.6497e+17;3.3622e+17;2.7774e+16;0;0;0;0;0;0;
5.5;0.606397;2e+07;1.1624e+17;4.2955e+17;9.1392e+17;5.4377e+17;3.62e+17;2.0941e+16;0;0;0;0;0;0;
5.75;0.734535;2e+07;1.017e+17;3.8698e+17;8.7122e+17;5.5349e+17;3.8493e+17;2.165e+16;0;0;0;0;0;0;
6;0.806047;2e+07;9.5307e+16;3.6639e+17;8.49e+17;5.543e+17;3.9704e+17;2.2545e+16;0;0;0;0;0;0;
6.25;0.854032;2e+07;9.1585e+16;3.5461e+17;8.3608e+17;5.5569e+17;4.0437e+17;2.3022e+16;0;0;0;0;0;0;
6.5;0.884841;2e+07;8.9396e+16;3.476e+17;8.2842e+17;5.5667e+17;4.0898e+17;2.3336e+16;0;0;0;0;0;0;
6.75;0.904499;2e+07;8.8089e+16;3.4343e+17;8.2394e+17;5.5744e+17;4.1199e+17;2.3486e+16;0;0;0;0;0;0;
7;0.917584;2e+07;8.7252e+16;3.4075e+17;8.2097e+17;5.5786e+17;4.1389e+17;2.3649e+16;0;0;0;0;0;0;
7.25;0.926516;2e+07;8.6685e+16;3.3891e+17;8.1908e+17;5.5833e+17;4.1531e+17;2.3711e+16;0;0;0;0;0;0;
7.5;0.931728;2e+07;8.6413e+16;3.3815e+17;8.1826e+17;5.5857e+17;4.1607e+17;2.3764e+16;0;0;0;0;0;0;
7.75;0.934837;2e+07;8.624e+16;3.3763e+17;8.1778e+17;5.5884e+17;4.1666e+17;2.3794e+16;0;0;0;0;0;0;
8;0.937014;2e+07;8.6165e+16;3.3731e+17;8.1757e+17;5.591e+17;4.1713e+17;2.3813e+16;0;0;0;0;0;0;
8.25;0.938242;2e+07;8.6083e+16;3.3712e+17;8.1757e+17;5.5941e+17;4.1755e+17;2.382e+16;0;0;0;0;0;0;
8.5;0.939317;2e+07;8.6066e+16;3.3705e+17;8.1768e+17;5.5971e+17;4.179e+17;2.3832e+16;0;0;0;0;0;0;
8.75;0.939926;2e+07;8.6045e+16;3.3705e+17;8.1791e+17;5.6003e+17;4.1823e+17;2.384e+16;0;0;0;0;0;0;
9;0.940424;2e+07;8.6065e+16;3.3711e+17;8.1823e+17;5.6036e+17;4.1852e+17;2.3843e+16;0;0;0;0;0;0;
9.25;0.940695;2e+07;8.608e+16;3.3721e+17;8.1859e+17;5.6069e+17;4.1879e+17;2.3846e+16;0;0;0;0;0;0;
9.5;0.940942;2e+07;8.6112e+16;3.3733e+17;8.1899e+17;5.6103e+17;4.1904e+17;2.3846e+16;0;0;0;0;0;0;
9.75;0.940994;2e+07;8.6152e+16;3.3749e+17;8.194e+17;5.6133e+17;4.1926e+17;2.3844e+16;0;0;0;0;0;0;
10;0.941046;2e+07;8.6185e+16;3.3764e+17;8.1981e+17;5.6164e+17;4.1947e+17;2.3844e+16;0;0;0;0;0;0;
10.25;0.941043;2e+07;8.6226e+16;3.378e+17;8.2021e+17;5.6193e+17;4.1967e+17;2.3843e+16;0;0;0;0;0;0;
10.5;0.941008;2e+07;8.6267e+16;3.3797e+17;8.2062e+17;5.6221e+17;4.1984e+17;2.3841e+16;0;0;0;0;0;0;
10.75;0.940935;2e+07;8.6309e+16;3.3813e+17;8.21e+17;5.6247e+17;4.2001e+17;2.3839e+16;0;0;0;0;0;0;
11;0.940857;2e+07;8.6349e+16;3.3829e+17;8.2138e+17;5.6272e+17;4.2017e+17;2.3837e+16;0;0;0;0;0;0;
11.25;0.940764;2e+07;8.6389e+16;3.3844e+17;8.2175e+17;5.6297e+17;4.2032e+17;2.3836e+16;0;0;0;0;0;0;
11.5;0.940666;2e+07;8.6428e+16;3.3859e+17;8.221e+17;5.632e+17;4.2046e+17;2.3834e+16;0;0;0;0;0;0;
11.75;0.940563;2e+07;8.6466e+16;3.3874e+17;8.2245e+17;5.6342e+17;4.2059e+17;2.3832e+16;0;0;0;0;0;0;
12;0.94046;2e+07;8.6503e+16;3.3888e+17;8.2278e+17;5.6363e+17;4.2072e+17;2.383e+16;0;0;0;0;0;0;
12.25;0.940354;2e+07;8.6539e+16;3.3902e+17;8.2309e+17;5.6384e+17;4.2084e+17;2.3828e+16;0;0;0;0;0;0;
12.5;0.940249;2e+07;8.6573e+16;3.3915e+17;8.234e+17;5.6403e+17;4.2095e+17;2.3826e+16;0;0;0;0;0;0;
12.75;0.940147;2e+07;8.6606e+16;3.3928e+17;8.2369e+17;5.6422e+17;4.2106e+17;2.3824e+16;0;0;0;0;0;0;
13;0.940047;2e+07;8.6638e+16;3.394e+17;8.2398e+17;5.644e+17;4.2117e+17;2.3822e+16;0;0;0;0;0;0;
13.25;0.939948;2e+07;8.6669e+16;3.3952e+17;8.2425e+17;5.6458e+17;4.2127e+17;2.3821e+16;0;0;0;0;0;0;
13.5;0.93985;2e+07;8.6699e+16;3.3964e+17;8.2451e+17;5.6474e+17;4.2137e+17;2.3819e+16;0;0;0;0;0;0;
13.75;0.939757;2e+07;8.6728e+16;3.3975e+17;8.2477e+17;5.649e+17;4.2146e+17;2.3817e+16;0;0;0;0;0;0;
14;0.939668;2e+07;8.6756e+16;3.3985e+17;8.2501e+17;5.6506e+17;4.2155e+17;2.3816e+16;0;0;0;0;0;0;
14.25;0.939579;2e+07;8.6782e+16;3.3996e+17;8.2525e+17;5.6521e+17;4.2164e+17;2.3814e+16;0;0;0;0;0;0;
14.5;0.939493;2e+07;8.6808e+16;3.4006e+17;8.2547e+17;5.6535e+17;4.2172e+17;2.3813e+16;0;0;0;0;0;0;
14.75;0.939412;2e+07;8.6833e+16;3.4015e+17;8.2569e+17;5.6549e+17;4.218e+17;2.3811e+16;0;0;0;0;0;0;
15;0.939333;2e+07;8.6857e+16;3.4024e+17;8.259e+17;5.6562e+17;4.2187e+17;2.381e+16;0;0;0;0;0;0;
15.25;0.93926;2e+07;8.688e+16;3.4033e+17;8.261e+17;5.6575e+17;4.2195e+17;2.3809e+16;0;0;0;0;0;0;
15.5;0.939185;2e+07;8.6902e+16;3.4042e+17;8.2629e+17;5.6587e+17;4.2202e+17;2.3808e+16;0;0;0;0;0;0;
