time(s);keff(-);power(W);flux0(m-2s-1);TFuel_Max;Avg;Min;TCladding_Max;Avg;Min;

0.001;0.882476;8e+08;2.3979e+07;668;668;668;668;668;668;
0.0022;0.914414;8e+08;2.32e+07;668;668;668;668;668;668;
0.00220000001;0.928953;8e+08;2.2881e+07;668;668;668;668;668;668;
0.002200000022;0.936297;8e+08;2.2739e+07;668;668;668;668;668;668;
0.002200000037;0.940368;8e+08;2.2674e+07;668;668;668;668;668;668;
0.002200000054;0.942804;8e+08;2.2643e+07;668;668;668;668;668;668;
0.002200000075;0.944354;8e+08;2.2629e+07;668;668;668;668;668;668;
0.002200000101;0.945396;8e+08;2.2623e+07;668;668;668;668;668;668;
0.002200000131;0.946125;8e+08;2.2621e+07;668;668;668;668;668;668;
0.002200000167;0.946651;8e+08;2.262e+07;668;668;668;668;668;668;
0.002200000211;0.947041;8e+08;2.262e+07;668;668;668;668;668;668;
0.002200000263;0.947334;8e+08;2.262e+07;668;668;668;668;668;668;
0.002200000326;0.947558;8e+08;2.262e+07;668;668;668;668;668;668;
0.002200000401;0.947729;8e+08;2.262e+07;668;668;668;668;668;668;
0.002200000491;0.947862;8e+08;2.2621e+07;668;668;668;668;668;668;
0.002200000599;0.947965;8e+08;2.2621e+07;668;668;668;668;668;668;
0.002200000729;0.948044;8e+08;2.2621e+07;668;668;668;668;668;668;
0.002200000885;0.948107;8e+08;2.2621e+07;668;668;668;668;668;668;
0.002200001073;0.948155;8e+08;2.2621e+07;668;668;668;668;668;668;
0.002200001297;0.948193;8e+08;2.2621e+07;668;668;668;668;668;668;
0.002200001567;0.948223;8e+08;2.2621e+07;668;668;668;668;668;668;
0.00220000189;0.948245;8e+08;2.2621e+07;668;668;668;668;668;668;
0.002200002279;0.948263;8e+08;2.2621e+07;668;668;668;668;668;668;
0.002200002745;0.948277;8e+08;2.2621e+07;668;668;668;668;668;668;
0.002200003304;0.948288;8e+08;2.2621e+07;668;668;668;668;668;668;
0.002200003974;0.948297;8e+08;2.2621e+07;668;668;668;668;668;668;
0.002200004779;0.948303;8e+08;2.2621e+07;668;668;668;668;668;668;
0.002200005745;0.948309;8e+08;2.2621e+07;668;668;668;668;668;668;
0.002200006905;0.948313;8e+08;2.2621e+07;668;668;668;668;668;668;
0.002200008296;0.948316;8e+08;2.2621e+07;668;668;668;668;668;668;
0.002200009965;0.948318;8e+08;2.2621e+07;668;668;668;668;668;668;
0.002200011968;0.94832;8e+08;2.2621e+07;668;668;668;668;668;668;
0.002200014372;0.948322;8e+08;2.2621e+07;668;668;668;668;668;668;
0.002200017256;0.948323;8e+08;2.2621e+07;668;668;668;668;668;668;
0.002200020717;0.948324;8e+08;2.2621e+07;668;668;668;668;668;668;
0.002200024871;0.948324;8e+08;2.2621e+07;668;668;668;668;668;668;
0.002200029855;0.948325;8e+08;2.2621e+07;668;668;668;668;668;668;
0.002200035837;0.948325;8e+08;2.2621e+07;668;668;668;668;668;668;
0.002200043014;0.948326;8e+08;2.2621e+07;668;668;668;668;668;668;
0.002200051627;0.948326;8e+08;2.2621e+07;668;668;668;668;668;668;
0.002200061963;0.948326;8e+08;2.2621e+07;668;668;668;668;668;668;
0.002200074365;0.948326;8e+08;2.2621e+07;668;668;668;668;668;668;
0.002200089248;0.948326;8e+08;2.2621e+07;668;668;668;668;668;668;
0.002200107108;0.948326;8e+08;2.2621e+07;668;668;668;668;668;668;
0.00220012854;0.948326;8e+08;2.2621e+07;668;668;668;668;668;668;
0.002200154258;0.948326;8e+08;2.2621e+07;668;668;668;668;668;668;
0.00220018512;0.948326;8e+08;2.2621e+07;668;668;668;668;668;668;
0.002200222154;0.948326;8e+08;2.2621e+07;668;668;668;668;668;668;
0.002200266595;0.948326;8e+08;2.2621e+07;668;668;668;668;668;668;
0.002200319924;0.948326;8e+08;2.2621e+07;668;668;668;668;668;668;
0.002200383919;0.948326;8e+08;2.2621e+07;668;668;668;668;668;668;
0.002200460713;0.948326;8e+08;2.2621e+07;668;668;668;668;668;668;
0.002200552866;0.948326;8e+08;2.2621e+07;668;668;668;668;668;668;
0.002200663449;0.948326;8e+08;2.2621e+07;668;668;668;668;668;668;
0.002200796149;0.948326;8e+08;2.2621e+07;668;668;668;668;668;668;
0.002200955389;0.948326;8e+08;2.2621e+07;668;668;668;668;668;668;
0.002201146477;0.948326;8e+08;2.2621e+07;668;668;668;668;668;668;
0.002201375783;0.948326;8e+08;2.2621e+07;668;668;668;668;668;668;
0.002201650949;0.948326;8e+08;2.2621e+07;668;668;668;668;668;668;
0.002201981149;0.948326;8e+08;2.2621e+07;668;668;668;668;668;668;
0.002202377389;0.948326;8e+08;2.2621e+07;668;668;668;668;668;668;
