time;flux0;flux1;flux2;flux3;flux4;flux5
483;8.79883e+16;3.44366e+17;8.33868e+17;5.69354e+17;4.22844e+17;2.36846e+16
484;8.79893e+16;3.44369e+17;8.33876e+17;5.69359e+17;4.22847e+17;2.36845e+16
485;8.79902e+16;3.44373e+17;8.33884e+17;5.69365e+17;4.22851e+17;2.36845e+16
486;8.79912e+16;3.44377e+17;8.33893e+17;5.69371e+17;4.22854e+17;2.36844e+16
487;8.79923e+16;3.44381e+17;8.33903e+17;5.69376e+17;4.22858e+17;2.36844e+16
488;8.79934e+16;3.44385e+17;8.33912e+17;5.69383e+17;4.22861e+17;2.36843e+16
489;8.79945e+16;3.4439e+17;8.33923e+17;5.69389e+17;4.22865e+17;2.36843e+16
490;8.79957e+16;3.44394e+17;8.33933e+17;5.69396e+17;4.22868e+17;2.36842e+16
491;8.7997e+16;3.44399e+17;8.33944e+17;5.69402e+17;4.22872e+17;2.36842e+16
492;8.79983e+16;3.44404e+17;8.33955e+17;5.69409e+17;4.22876e+17;2.36841e+16
493;8.79997e+16;3.44409e+17;8.33967e+17;5.69416e+17;4.2288e+17;2.3684e+16
494;8.80011e+16;3.44415e+17;8.33979e+17;5.69423e+17;4.22884e+17;2.36839e+16
495;8.80028e+16;3.44421e+17;8.3399e+17;5.6943e+17;4.22888e+17;2.36839e+16
496;8.80043e+16;3.44427e+17;8.34002e+17;5.69437e+17;4.22893e+17;2.36838e+16
497;8.80052e+16;3.44429e+17;8.34014e+17;5.69446e+17;4.22898e+17;2.36837e+16
498;8.80067e+16;3.44436e+17;8.34028e+17;5.69455e+17;4.22902e+17;2.36836e+16
499;8.80085e+16;3.44443e+17;8.34044e+17;5.69462e+17;4.22906e+17;2.36836e+16
500;8.80102e+16;3.44449e+17;8.34056e+17;5.6947e+17;4.22911e+17;2.36835e+16
