time;prec0;prec1;prec2;prec3;prec4;prec5;prec6;prec7
345;323180.2;1296514;347205;263799.5;256064.5;50056.87;17193.24;3840.602
350;323180.2;1296514;347205;263799.5;256064.5;50056.87;17193.25;3840.603
355;323180.2;1296513;347204.9;263799.5;256064.5;50056.86;17193.24;3840.602
360;323180.1;1296513;347204.9;263799.5;256064.4;50056.86;17193.24;3840.601
365;323180.1;1296513;347204.9;263799.4;256064.4;50056.85;17193.24;3840.601
370;323180.1;1296513;347204.8;263799.4;256064.4;50056.85;17193.24;3840.601
375;323180;1296513;347204.8;263799.4;256064.4;50056.84;17193.24;3840.6
380;323180;1296513;347204.8;263799.4;256064.4;50056.84;17193.24;3840.6
385;323180;1296513;347204.8;263799.4;256064.4;50056.84;17193.23;3840.6
390;323180;1296513;347204.8;263799.3;256064.3;50056.84;17193.23;3840.6
395;323180;1296513;347204.8;263799.3;256064.3;50056.83;17193.23;3840.6
400;323180;1296513;347204.8;263799.3;256064.3;50056.83;17193.23;3840.6
405;323180;1296513;347204.7;263799.3;256064.3;50056.83;17193.23;3840.6
410;323180;1296513;347204.7;263799.3;256064.3;50056.83;17193.23;3840.6
415;323180;1296513;347204.8;263799.3;256064.3;50056.83;17193.23;3840.6
420;323179.9;1296512;347204.7;263799.3;256064.3;50056.82;17193.23;3840.599
425;323179.9;1296512;347204.7;263799.3;256064.3;50056.82;17193.23;3840.599
430;323179.9;1296513;347204.7;263799.3;256064.3;50056.83;17193.23;3840.599
435;323180;1296513;347204.7;263799.3;256064.3;50056.83;17193.23;3840.599
440;323180;1296513;347204.7;263799.3;256064.3;50056.83;17193.23;3840.599
445;323179.9;1296512;347204.6;263799.2;256064.2;50056.81;17193.23;3840.598
450;323179.9;1296512;347204.6;263799.2;256064.2;50056.81;17193.23;3840.598
455;323179.9;1296512;347204.6;263799.2;256064.2;50056.81;17193.23;3840.598
460;323179.9;1296512;347204.6;263799.2;256064.2;50056.81;17193.23;3840.598
465;323179.9;1296512;347204.6;263799.2;256064.2;50056.82;17193.23;3840.598
470;323179.9;1296512;347204.6;263799.2;256064.2;50056.82;17193.23;3840.598
475;323179.9;1296512;347204.6;263799.2;256064.2;50056.82;17193.23;3840.599
480;323179.8;1296512;347204.5;263799.1;256064.1;50056.8;17193.22;3840.597
485;323179.8;1296512;347204.5;263799.2;256064.2;50056.8;17193.22;3840.597
490;323179.8;1296512;347204.5;263799.2;256064.2;50056.8;17193.22;3840.597
495;323179.8;1296512;347204.5;263799.2;256064.2;50056.8;17193.22;3840.597
500;323179.8;1296512;347204.5;263799.2;256064.2;50056.8;17193.22;3840.597
505;323179.8;1296512;347204.5;263799.2;256064.2;50056.8;17193.22;3840.597
510;323179.8;1296512;347204.5;263799.2;256064.2;50056.8;17193.22;3840.597
515;323179.8;1296512;347204.6;263799.2;256064.2;50056.8;17193.22;3840.597
520;323179.8;1296512;347204.6;263799.2;256064.2;50056.8;17193.22;3840.598
525;323179.7;1296511;347204.4;263799.1;256064.1;50056.78;17193.22;3840.596
530;323179.7;1296511;347204.4;263799.1;256064.1;50056.78;17193.22;3840.596
535;323179.7;1296511;347204.4;263799.1;256064.1;50056.78;17193.22;3840.596
540;323179.7;1296511;347204.4;263799.1;256064.1;50056.78;17193.22;3840.596
545;323179.7;1296511;347204.4;263799.1;256064.1;50056.78;17193.22;3840.596
550;323179.7;1296511;347204.4;263799.1;256064.1;50056.78;17193.22;3840.596
555;323179.7;1296511;347204.4;263799.1;256064.1;50056.78;17193.22;3840.596
560;323179.7;1296511;347204.4;263799.1;256064.1;50056.78;17193.22;3840.596
565;323179.7;1296511;347204.4;263799.1;256064.1;50056.79;17193.22;3840.596
570;323179.7;1296511;347204.4;263799.1;256064.1;50056.79;17193.22;3840.596
575;323179.6;1296511;347204.4;263799;256064;50056.77;17193.21;3840.595
580;323179.6;1296511;347204.3;263799;256064;50056.77;17193.21;3840.595
585;323179.6;1296511;347204.3;263799;256064;50056.77;17193.21;3840.595
590;323179.6;1296511;347204.3;263799;256064;50056.77;17193.21;3840.595
595;323179.6;1296511;347204.3;263799;256064;50056.77;17193.21;3840.595
600;323179.6;1296511;347204.3;263799;256064;50056.77;17193.21;3840.595
605;323179.6;1296511;347204.3;263799;256064;50056.77;17193.21;3840.595
610;323179.6;1296511;347204.3;263799;256064;50056.77;17193.21;3840.595
615;323179.6;1296511;347204.3;263799;256064;50056.77;17193.21;3840.595
620;323179.6;1296511;347204.3;263799;256064;50056.77;17193.21;3840.595
625;323179.6;1296511;347204.3;263799;256064;50056.77;17193.21;3840.595
630;323179.6;1296511;347204.3;263799;256064;50056.77;17193.21;3840.595
635;323179.6;1296511;347204.3;263799;256064;50056.77;17193.21;3840.595
640;323179.6;1296511;347204.3;263799;256064;50056.77;17193.21;3840.595
645;323179.6;1296511;347204.3;263799;256064;50056.77;17193.21;3840.595
650;323179.6;1296511;347204.3;263799;256064;50056.77;17193.21;3840.595
655;323179.5;1296511;347204.2;263798.9;256063.9;50056.76;17193.21;3840.594
660;323179.5;1296511;347204.2;263798.9;256063.9;50056.76;17193.21;3840.594
665;323179.5;1296511;347204.2;263798.9;256063.9;50056.76;17193.21;3840.594
670;323179.5;1296511;347204.2;263798.9;256064;50056.76;17193.21;3840.594
675;323179.5;1296511;347204.2;263798.9;256064;50056.76;17193.21;3840.594
680;323179.5;1296511;347204.2;263798.9;256064;50056.76;17193.21;3840.594
685;323179.5;1296511;347204.3;263798.9;256064;50056.76;17193.21;3840.594
690;323179.5;1296511;347204.3;263798.9;256064;50056.76;17193.21;3840.594
695;323179.5;1296511;347204.3;263798.9;256064;50056.76;17193.21;3840.594
700;323179.5;1296511;347204.3;263799;256064;50056.76;17193.21;3840.594
705;323179.5;1296511;347204.3;263799;256064;50056.76;17193.21;3840.594
710;323179.5;1296511;347204.2;263798.9;256063.9;50056.75;17193.2;3840.593
715;323179.5;1296511;347204.2;263798.9;256063.9;50056.75;17193.2;3840.593
720;323179.5;1296511;347204.2;263798.9;256063.9;50056.75;17193.2;3840.593
725;323179.5;1296511;347204.2;263798.9;256063.9;50056.75;17193.2;3840.593
730;323179.5;1296511;347204.2;263798.9;256063.9;50056.75;17193.2;3840.593
735;323179.5;1296511;347204.2;263798.9;256063.9;50056.75;17193.2;3840.593
740;323179.5;1296511;347204.2;263798.9;256063.9;50056.75;17193.2;3840.593
745;323179.5;1296511;347204.2;263798.9;256063.9;50056.75;17193.2;3840.593
750;323179.5;1296511;347204.2;263798.9;256063.9;50056.75;17193.21;3840.593
755;323179.5;1296511;347204.2;263798.9;256063.9;50056.75;17193.21;3840.594
760;323179.4;1296510;347204.1;263798.8;256063.8;50056.74;17193.2;3840.592
765;323179.4;1296510;347204.1;263798.8;256063.8;50056.74;17193.2;3840.592
770;323179.4;1296510;347204.1;263798.8;256063.8;50056.74;17193.2;3840.592
775;323179.4;1296510;347204.1;263798.8;256063.8;50056.74;17193.2;3840.592
780;323179.4;1296510;347204.1;263798.8;256063.8;50056.74;17193.2;3840.592
785;323179.4;1296510;347204.1;263798.8;256063.8;50056.74;17193.2;3840.592
790;323179.4;1296510;347204.1;263798.8;256063.8;50056.74;17193.2;3840.592
795;323179.4;1296510;347204.1;263798.8;256063.8;50056.74;17193.2;3840.592
800;323179.4;1296510;347204.1;263798.8;256063.8;50056.74;17193.2;3840.593
805;323179.4;1296510;347204.1;263798.8;256063.8;50056.74;17193.2;3840.593
810;323179.3;1296510;347204;263798.8;256063.8;50056.73;17193.2;3840.591
815;323179.3;1296510;347204;263798.8;256063.8;50056.73;17193.2;3840.592
820;323179.3;1296510;347204;263798.8;256063.8;50056.73;17193.2;3840.592
825;323179.3;1296510;347204;263798.8;256063.8;50056.73;17193.2;3840.592
830;323179.3;1296510;347204;263798.8;256063.8;50056.73;17193.2;3840.592
835;323179.3;1296510;347204;263798.8;256063.8;50056.73;17193.2;3840.592
840;323179.3;1296510;347204;263798.8;256063.8;50056.73;17193.2;3840.592
845;323179.3;1296510;347204;263798.8;256063.8;50056.73;17193.2;3840.592
850;323179.3;1296510;347204;263798.8;256063.8;50056.73;17193.2;3840.592
855;323179.2;1296510;347203.9;263798.7;256063.7;50056.71;17193.19;3840.59
860;323179.2;1296510;347203.9;263798.7;256063.7;50056.71;17193.19;3840.591
865;323179.2;1296510;347203.9;263798.7;256063.7;50056.71;17193.19;3840.591
870;323179.2;1296510;347203.9;263798.7;256063.7;50056.71;17193.19;3840.591
875;323179.2;1296510;347203.9;263798.7;256063.7;50056.71;17193.19;3840.591
880;323179.2;1296510;347203.9;263798.7;256063.7;50056.71;17193.19;3840.591
885;323179.2;1296510;347203.9;263798.7;256063.7;50056.71;17193.19;3840.591
890;323179.2;1296510;347203.9;263798.7;256063.7;50056.71;17193.19;3840.591
895;323179.2;1296510;347203.9;263798.7;256063.7;50056.71;17193.19;3840.591
900;323179.2;1296510;347203.9;263798.7;256063.7;50056.71;17193.19;3840.591
905;323179.1;1296509;347203.8;263798.6;256063.6;50056.7;17193.19;3840.59
910;323179.1;1296509;347203.8;263798.6;256063.6;50056.7;17193.19;3840.59
915;323179.1;1296509;347203.8;263798.6;256063.6;50056.7;17193.19;3840.59
920;323179.1;1296509;347203.8;263798.6;256063.6;50056.7;17193.19;3840.59
925;323179.1;1296509;347203.8;263798.6;256063.7;50056.7;17193.19;3840.59
930;323179.1;1296509;347203.8;263798.6;256063.7;50056.7;17193.19;3840.59
935;323179.1;1296509;347203.8;263798.6;256063.7;50056.7;17193.19;3840.59
