time;Tmin
1;667.9979
2;667.9975
3;667.9975
4;667.9975
5;667.9975
6;667.9975
7;667.9975
8;667.9975
9;667.9974
10;667.9974
11;667.9974
12;667.9974
13;667.9974
14;667.9974
15;667.9974
16;667.9974
17;667.9974
18;667.9974
19;667.9974
20;667.9974
21;667.9974
22;667.9974
23;667.9974
24;667.9974
25;667.9974
26;667.9974
27;667.9974
28;667.9974
29;667.9974
30;667.9974
31;667.9974
32;667.9974
33;667.9974
34;667.9974
35;667.9974
36;667.9974
37;667.9974
38;667.9974
39;667.9974
40;667.9974
41;667.9974
42;667.9974
43;667.9974
44;667.9974
45;667.9974
46;667.9974
47;667.9974
48;667.9974
49;667.9974
50;667.9974
51;667.9974
52;667.9974
53;667.9974
54;667.9974
55;667.9974
56;667.9974
57;667.9974
58;667.9974
59;667.9974
60;667.9974
61;667.9974
62;667.9974
63;667.9974
64;667.9974
65;667.9974
66;667.9974
67;667.9974
68;667.9974
69;667.9974
70;667.9974
71;667.9974
72;667.9974
73;667.9974
74;667.9974
75;667.9974
76;667.9974
77;667.9974
78;667.9974
79;667.9974
80;667.9974
81;667.9974
82;667.9974
83;667.9974
84;667.9974
85;667.9974
86;667.9974
87;667.9974
88;667.9974
89;667.9974
90;667.9974
91;667.9974
92;667.9974
93;667.9974
94;667.9974
95;667.9974
96;667.9974
97;667.9974
