time(s);keff(-);power(W);flux0;flux1;flux2;flux3;flux4;flux5(m-2s-1);TFuel_Max;Avg;Min;TCladding_Max;Avg;Min;
26.5;1.21055;2e+07;6.6148e+16;2.5874e+17;6.3088e+17;4.3296e+17;3.7786e+17;6.0598e+16;0;0;0;0;0;0;
27;1.21055;2e+07;6.6148e+16;2.5874e+17;6.3088e+17;4.3296e+17;3.7786e+17;6.0598e+16;0;0;0;0;0;0;
27.5;1.21055;2e+07;6.6148e+16;2.5874e+17;6.3088e+17;4.3296e+17;3.7786e+17;6.0598e+16;0;0;0;0;0;0;
28;1.21055;2e+07;6.6148e+16;2.5874e+17;6.3088e+17;4.3296e+17;3.7786e+17;6.0598e+16;0;0;0;0;0;0;
28.5;1.21055;2e+07;6.6148e+16;2.5874e+17;6.3088e+17;4.3296e+17;3.7786e+17;6.0598e+16;0;0;0;0;0;0;
29;1.21055;2e+07;6.6148e+16;2.5874e+17;6.3088e+17;4.3296e+17;3.7786e+17;6.0598e+16;0;0;0;0;0;0;
29.5;1.21055;2e+07;6.6148e+16;2.5874e+17;6.3088e+17;4.3296e+17;3.7786e+17;6.0598e+16;0;0;0;0;0;0;
30;1.21055;2e+07;6.6148e+16;2.5874e+17;6.3088e+17;4.3296e+17;3.7786e+17;6.0598e+16;0;0;0;0;0;0;
30.5;1.21055;2e+07;6.6148e+16;2.5874e+17;6.3088e+17;4.3296e+17;3.7786e+17;6.0598e+16;0;0;0;0;0;0;
31;1.21055;2e+07;6.6148e+16;2.5874e+17;6.3088e+17;4.3296e+17;3.7786e+17;6.0598e+16;0;0;0;0;0;0;
31.5;1.21055;2e+07;6.6148e+16;2.5874e+17;6.3088e+17;4.3296e+17;3.7786e+17;6.0598e+16;0;0;0;0;0;0;
32;1.21055;2e+07;6.6148e+16;2.5874e+17;6.3088e+17;4.3296e+17;3.7786e+17;6.0598e+16;0;0;0;0;0;0;
32.5;1.21055;2e+07;6.6148e+16;2.5874e+17;6.3088e+17;4.3296e+17;3.7786e+17;6.0598e+16;0;0;0;0;0;0;
33;1.21055;2e+07;6.6148e+16;2.5874e+17;6.3088e+17;4.3296e+17;3.7786e+17;6.0598e+16;0;0;0;0;0;0;
33.5;1.21055;2e+07;6.6148e+16;2.5874e+17;6.3088e+17;4.3296e+17;3.7786e+17;6.0598e+16;0;0;0;0;0;0;
34;1.21055;2e+07;6.6148e+16;2.5874e+17;6.3088e+17;4.3296e+17;3.7786e+17;6.0598e+16;0;0;0;0;0;0;
34.5;1.21055;2e+07;6.6148e+16;2.5874e+17;6.3088e+17;4.3296e+17;3.7786e+17;6.0598e+16;0;0;0;0;0;0;
35;1.21055;2e+07;6.6148e+16;2.5874e+17;6.3088e+17;4.3296e+17;3.7786e+17;6.0598e+16;0;0;0;0;0;0;
35.5;1.21055;2e+07;6.6148e+16;2.5874e+17;6.3088e+17;4.3296e+17;3.7786e+17;6.0598e+16;0;0;0;0;0;0;
36;1.21055;2e+07;6.6148e+16;2.5874e+17;6.3088e+17;4.3296e+17;3.7786e+17;6.0598e+16;0;0;0;0;0;0;
