# Region      : cellSet Z870
# Cells       : 7
# Volume      : 4.818207e-07
# Time        	volAverage(p)	volAverage(p_rgh)	volAverage(alpha.vapour)	volAverage(T.activeStructure)	volAverage(T.liquid)
-1.9999       	1.000000e+04	6.029037e+03	0.000000e+00	6.531580e+02	6.531501e+02
-1.99979      	1.158507e+05	1.118797e+05	0.000000e+00	6.531666e+02	6.531503e+02
-1.99967      	1.137580e+05	1.097871e+05	0.000000e+00	6.531761e+02	6.531504e+02
-1.99954      	1.165440e+05	1.125731e+05	0.000000e+00	6.531863e+02	6.531508e+02
-1.99939      	1.142044e+05	1.102334e+05	0.000000e+00	6.531973e+02	6.531512e+02
-1.99923      	1.165394e+05	1.125685e+05	0.000000e+00	6.532093e+02	6.531520e+02
-1.99905      	1.146425e+05	1.106716e+05	0.000000e+00	6.532223e+02	6.531527e+02
-1.99886      	1.166093e+05	1.126383e+05	0.000000e+00	6.532363e+02	6.531540e+02
-1.99864      	1.150844e+05	1.111135e+05	0.000000e+00	6.532514e+02	6.531552e+02
-1.99841      	1.167509e+05	1.127799e+05	0.000000e+00	6.532677e+02	6.531573e+02
-1.99815      	1.155407e+05	1.115698e+05	0.000000e+00	6.532852e+02	6.531593e+02
-1.99786      	1.169610e+05	1.129901e+05	0.000000e+00	6.533041e+02	6.531625e+02
-1.99755      	1.160265e+05	1.120556e+05	0.000000e+00	6.533243e+02	6.531656e+02
-1.9972       	1.172324e+05	1.132615e+05	0.000000e+00	6.533460e+02	6.531702e+02
-1.99682      	1.165474e+05	1.125764e+05	0.000000e+00	6.533692e+02	6.531750e+02
-1.99641      	1.175625e+05	1.135915e+05	0.000000e+00	6.533942e+02	6.531816e+02
-1.99595      	1.171163e+05	1.131454e+05	0.000000e+00	6.534208e+02	6.531886e+02
-1.99544      	1.179385e+05	1.139676e+05	0.000000e+00	6.534493e+02	6.531980e+02
-1.99488      	1.177487e+05	1.137778e+05	0.000000e+00	6.534799e+02	6.532083e+02
-1.99427      	1.183226e+05	1.143517e+05	0.000000e+00	6.535126e+02	6.532212e+02
-1.9936       	1.183963e+05	1.144254e+05	0.000000e+00	6.535477e+02	6.532359e+02
-1.99286      	1.187951e+05	1.148243e+05	0.000000e+00	6.535853e+02	6.532533e+02
-1.99205      	1.190365e+05	1.150656e+05	0.000000e+00	6.536258e+02	6.532734e+02
-1.99115      	1.193620e+05	1.153912e+05	0.000000e+00	6.536694e+02	6.532969e+02
-1.99017      	1.196605e+05	1.156897e+05	0.000000e+00	6.537165e+02	6.533241e+02
-1.98908      	1.199742e+05	1.160035e+05	0.000000e+00	6.537675e+02	6.533555e+02
-1.98789      	1.202861e+05	1.163154e+05	0.000000e+00	6.538230e+02	6.533918e+02
