time(s);keff(-);power(W);flux0(m-2s-1);TFuel_Max;Avg;Min;TCladding_Max;Avg;Min;
1.02;1;3.6e+09;1e-18;0;0;0;0;0;0;
1.03;1;3.6e+09;1e-18;0;0;0;0;0;0;
1.04;1;3.6e+09;1e-18;0;0;0;0;0;0;
1.05;1;3.6e+09;1e-18;0;0;0;0;0;0;
1.06;1;3.6e+09;1e-18;0;0;0;0;0;0;
1.07;1;3.6e+09;1e-18;0;0;0;0;0;0;
1.08;1;3.6e+09;1e-18;0;0;0;0;0;0;
1.09;1;3.6e+09;1e-18;0;0;0;0;0;0;
1.1;1;3.6e+09;1e-18;0;0;0;0;0;0;
1.11;1;3.6e+09;1e-18;0;0;0;0;0;0;
1.12;1;3.6e+09;1e-18;0;0;0;0;0;0;
1.13;1;3.6e+09;1e-18;0;0;0;0;0;0;
1.14;1;3.6e+09;1e-18;0;0;0;0;0;0;
1.15;1;3.6e+09;1e-18;0;0;0;0;0;0;
1.16;1;3.6e+09;1e-18;0;0;0;0;0;0;
1.17;1;3.6e+09;1e-18;0;0;0;0;0;0;
1.18;1;3.6e+09;1e-18;0;0;0;0;0;0;
1.19;1;3.6e+09;1e-18;0;0;0;0;0;0;
1.2;1;3.6e+09;1e-18;0;0;0;0;0;0;
1.21;1;3.6e+09;1e-18;0;0;0;0;0;0;
1.22;1;3.6e+09;1e-18;0;0;0;0;0;0;
1.23;1;3.6e+09;1e-18;0;0;0;0;0;0;
1.24;1;3.6e+09;1e-18;0;0;0;0;0;0;
1.25;1;3.6e+09;1e-18;0;0;0;0;0;0;
1.26;1;3.6e+09;1e-18;0;0;0;0;0;0;
1.27;1;3.6e+09;1e-18;0;0;0;0;0;0;
1.28;1;3.6e+09;1e-18;0;0;0;0;0;0;
1.29;1;3.6e+09;1e-18;0;0;0;0;0;0;
1.3;1;3.6e+09;1e-18;0;0;0;0;0;0;
1.31;1;3.6e+09;1e-18;0;0;0;0;0;0;
1.32;1;3.6e+09;1e-18;0;0;0;0;0;0;
1.33;1;3.6e+09;1e-18;0;0;0;0;0;0;
1.34;1;3.6e+09;1e-18;0;0;0;0;0;0;
1.35;1;3.6e+09;1e-18;0;0;0;0;0;0;
1.36;1;3.6e+09;1e-18;0;0;0;0;0;0;
1.37;1;3.6e+09;1e-18;0;0;0;0;0;0;
1.38;1;3.6e+09;1e-18;0;0;0;0;0;0;
1.39;1;3.6e+09;1e-18;0;0;0;0;0;0;
1.4;1;3.6e+09;1e-18;0;0;0;0;0;0;
1.41;1;3.6e+09;1e-18;0;0;0;0;0;0;
1.42;1;3.6e+09;1e-18;0;0;0;0;0;0;
1.43;1;3.6e+09;1e-18;0;0;0;0;0;0;
1.44;1;3.6e+09;1e-18;0;0;0;0;0;0;
1.45;1;3.6e+09;1e-18;0;0;0;0;0;0;
1.46;1;3.6e+09;1e-18;0;0;0;0;0;0;
1.47;1;3.6e+09;1e-18;0;0;0;0;0;0;
1.48;1;3.6e+09;1e-18;0;0;0;0;0;0;
1.49;1;3.6e+09;1e-18;0;0;0;0;0;0;
1.5;1;3.6e+09;1e-18;0;0;0;0;0;0;
1.51;1;3.6e+09;1e-18;0;0;0;0;0;0;
1.52;1;3.6e+09;1e-18;0;0;0;0;0;0;
1.53;1;3.6e+09;1e-18;0;0;0;0;0;0;
1.54;1;3.6e+09;1e-18;0;0;0;0;0;0;
1.55;1;3.6e+09;1e-18;0;0;0;0;0;0;
1.56;1;3.6e+09;1e-18;0;0;0;0;0;0;
1.57;1;3.6e+09;1e-18;0;0;0;0;0;0;
1.58;1;3.6e+09;1e-18;0;0;0;0;0;0;
1.59;1;3.6e+09;1e-18;0;0;0;0;0;0;
1.6;1;3.6e+09;1e-18;0;0;0;0;0;0;
1.61;1;3.6e+09;1e-18;0;0;0;0;0;0;
1.62;1;3.6e+09;1e-18;0;0;0;0;0;0;
1.63;1;3.6e+09;1e-18;0;0;0;0;0;0;
1.64;1;3.6e+09;1e-18;0;0;0;0;0;0;
1.65;1;3.6e+09;1e-18;0;0;0;0;0;0;
1.66;1;3.6e+09;1e-18;0;0;0;0;0;0;
1.67;1;3.6e+09;1e-18;0;0;0;0;0;0;
1.68;1;3.6e+09;1e-18;0;0;0;0;0;0;
1.69;1;3.6e+09;1e-18;0;0;0;0;0;0;
1.7;1;3.6e+09;1e-18;0;0;0;0;0;0;
1.71;1;3.6e+09;1e-18;0;0;0;0;0;0;
1.72;1;3.6e+09;1e-18;0;0;0;0;0;0;
1.73;1;3.6e+09;1e-18;0;0;0;0;0;0;
1.74;1;3.6e+09;1e-18;0;0;0;0;0;0;
1.75;1;3.6e+09;1e-18;0;0;0;0;0;0;
1.76;1;3.6e+09;1e-18;0;0;0;0;0;0;
1.77;1;3.6e+09;1e-18;0;0;0;0;0;0;
1.78;1;3.6e+09;1e-18;0;0;0;0;0;0;
1.79;1;3.6e+09;1e-18;0;0;0;0;0;0;
1.8;1;3.6e+09;1e-18;0;0;0;0;0;0;
1.81;1;3.6e+09;1e-18;0;0;0;0;0;0;
1.82;1;3.6e+09;1e-18;0;0;0;0;0;0;
1.83;1;3.6e+09;1e-18;0;0;0;0;0;0;
1.84;1;3.6e+09;1e-18;0;0;0;0;0;0;
1.85;1;3.6e+09;1e-18;0;0;0;0;0;0;
1.86;1;3.6e+09;1e-18;0;0;0;0;0;0;
1.87;1;3.6e+09;1e-18;0;0;0;0;0;0;
1.88;1;3.6e+09;1e-18;0;0;0;0;0;0;
1.89;1;3.6e+09;1e-18;0;0;0;0;0;0;
