time;prec0;prec1;prec2;prec3;prec4;prec5;prec6;prec7
300;323180.6;1296515;347205.4;263799.8;256064.8;50056.93;17193.27;3840.607
300;323180.6;1296515;347205.4;263799.8;256064.8;50056.93;17193.27;3840.607
300;323180.6;1296515;347205.4;263799.8;256064.8;50056.93;17193.27;3840.607
300.0001;323180.6;1296515;347205.4;263799.8;256064.8;50056.93;17193.27;3840.607
300.0001;323180.6;1296515;347205.4;263799.8;256064.8;50056.93;17193.27;3840.608
300.0003;323180.6;1296515;347205.4;263799.8;256064.8;50056.93;17193.27;3840.608
300.0006;323180.6;1296515;347205.4;263799.8;256064.8;50056.94;17193.27;3840.61
