# Region      : cellSet Z545
# Cells       : 7
# Volume      : 4.818207e-07
# Time        	volAverage(p)	volAverage(p_rgh)	volAverage(alpha.vapour)	volAverage(T.activeStructure)	volAverage(T.liquid)
-1.9999       	1.000000e+04	3.050816e+03	0.000000e+00	6.531708e+02	6.531501e+02
-1.99979      	1.364478e+05	1.294987e+05	0.000000e+00	6.531934e+02	6.531506e+02
-1.99967      	1.344148e+05	1.274656e+05	0.000000e+00	6.532179e+02	6.531510e+02
-1.99954      	1.370471e+05	1.300979e+05	0.000000e+00	6.532446e+02	6.531520e+02
-1.99939      	1.347732e+05	1.278240e+05	0.000000e+00	6.532735e+02	6.531531e+02
-1.99923      	1.369687e+05	1.300195e+05	0.000000e+00	6.533047e+02	6.531550e+02
-1.99905      	1.351125e+05	1.281633e+05	0.000000e+00	6.533385e+02	6.531570e+02
-1.99886      	1.369495e+05	1.300003e+05	0.000000e+00	6.533751e+02	6.531601e+02
-1.99864      	1.354426e+05	1.284934e+05	0.000000e+00	6.534145e+02	6.531637e+02
-1.99841      	1.369857e+05	1.300365e+05	0.000000e+00	6.534569e+02	6.531686e+02
-1.99815      	1.357724e+05	1.288233e+05	0.000000e+00	6.535026e+02	6.531742e+02
-1.99786      	1.370735e+05	1.301244e+05	0.000000e+00	6.535517e+02	6.531817e+02
-1.99755      	1.361138e+05	1.291646e+05	0.000000e+00	6.536044e+02	6.531903e+02
-1.9972       	1.372064e+05	1.302573e+05	0.000000e+00	6.536610e+02	6.532014e+02
-1.99682      	1.364721e+05	1.295231e+05	0.000000e+00	6.537215e+02	6.532140e+02
-1.99641      	1.373809e+05	1.304319e+05	0.000000e+00	6.537864e+02	6.532300e+02
-1.99595      	1.368601e+05	1.299111e+05	0.000000e+00	6.538557e+02	6.532482e+02
-1.99544      	1.375844e+05	1.306355e+05	0.000000e+00	6.539300e+02	6.532708e+02
-1.99488      	1.373025e+05	1.303536e+05	0.000000e+00	6.540093e+02	6.532966e+02
-1.99427      	1.377720e+05	1.308231e+05	0.000000e+00	6.540942e+02	6.533277e+02
-1.9936       	1.377481e+05	1.307993e+05	0.000000e+00	6.541850e+02	6.533635e+02
-1.99286      	1.380362e+05	1.310875e+05	0.000000e+00	6.542823e+02	6.534055e+02
-1.99205      	1.381697e+05	1.312211e+05	0.000000e+00	6.543867e+02	6.534540e+02
-1.99115      	1.383819e+05	1.314334e+05	0.000000e+00	6.544988e+02	6.535102e+02
-1.99017      	1.385666e+05	1.316182e+05	0.000000e+00	6.546196e+02	6.535749e+02
-1.98908      	1.387647e+05	1.318164e+05	0.000000e+00	6.547499e+02	6.536493e+02
-1.98789      	1.389603e+05	1.320122e+05	0.000000e+00	6.548909e+02	6.537345e+02
-1.98658      	1.391568e+05	1.322089e+05	0.000000e+00	6.550439e+02	6.538318e+02
-1.98514      	1.393524e+05	1.324047e+05	0.000000e+00	6.552105e+02	6.539428e+02
-1.98355      	1.395434e+05	1.325959e+05	0.000000e+00	6.553924e+02	6.540692e+02
-1.98181      	1.397329e+05	1.327857e+05	0.000000e+00	6.555915e+02	6.542129e+02
-1.97989      	1.403536e+05	1.334067e+05	0.000000e+00	6.558102e+02	6.543764e+02
-1.97777      	1.485151e+05	1.415685e+05	0.000000e+00	6.560511e+02	6.545634e+02
-1.97545      	1.573436e+05	1.503974e+05	0.000000e+00	6.563166e+02	6.547754e+02
-1.9729       	1.669758e+05	1.600301e+05	0.000000e+00	6.566096e+02	6.550161e+02
-1.97009      	1.774527e+05	1.705075e+05	0.000000e+00	6.569333e+02	6.552893e+02
-1.967        	1.888484e+05	1.819037e+05	0.000000e+00	6.572912e+02	6.555994e+02
-1.9636       	2.012408e+05	1.942968e+05	0.000000e+00	6.576874e+02	6.559514e+02
-1.95986      	2.139599e+05	2.070166e+05	0.000000e+00	6.581265e+02	6.563508e+02
-1.95574      	2.073539e+05	2.004115e+05	0.000000e+00	6.586138e+02	6.567949e+02
-1.95121      	2.004049e+05	1.934634e+05	0.000000e+00	6.591574e+02	6.572958e+02
-1.94624      	1.929716e+05	1.860311e+05	0.000000e+00	6.597650e+02	6.578587e+02
-1.94076      	1.850369e+05	1.780976e+05	0.000000e+00	6.604449e+02	6.584895e+02
-1.93474      	1.838389e+05	1.769009e+05	0.000000e+00	6.612053e+02	6.591995e+02
-1.92811      	1.836864e+05	1.767499e+05	0.000000e+00	6.620535e+02	6.599934e+02
-1.92082      	1.835194e+05	1.765845e+05	0.000000e+00	6.629971e+02	6.608784e+02
-1.9128       	1.834922e+05	1.765591e+05	0.000000e+00	6.640445e+02	6.618627e+02
-1.90398      	1.834759e+05	1.765448e+05	0.000000e+00	6.652047e+02	6.629545e+02
-1.89428      	1.834157e+05	1.764867e+05	0.000000e+00	6.664056e+02	6.640853e+02
-1.88428      	1.833251e+05	1.763982e+05	0.000000e+00	6.676090e+02	6.652184e+02
-1.87428      	1.832591e+05	1.763343e+05	0.000000e+00	6.688123e+02	6.663512e+02
-1.86428      	1.832157e+05	1.762930e+05	0.000000e+00	6.700135e+02	6.674812e+02
-1.85428      	1.831858e+05	1.762652e+05	0.000000e+00	6.712110e+02	6.686068e+02
-1.84428      	1.831694e+05	1.762508e+05	0.000000e+00	6.724032e+02	6.697263e+02
-1.83428      	1.831653e+05	1.762488e+05	0.000000e+00	6.735889e+02	6.708386e+02
-1.82428      	1.831693e+05	1.762549e+05	0.000000e+00	6.747670e+02	6.719426e+02
-1.81428      	1.831321e+05	1.762197e+05	0.000000e+00	6.759367e+02	6.730374e+02
-1.804281     	1.830623e+05	1.761519e+05	0.000000e+00	6.770973e+02	6.741226e+02
-1.794281     	1.830536e+05	1.761452e+05	0.000000e+00	6.782483e+02	6.751975e+02
-1.784281     	1.830857e+05	1.761792e+05	0.000000e+00	6.793890e+02	6.762618e+02
-1.774281     	1.831667e+05	1.762623e+05	0.000000e+00	6.805190e+02	6.773150e+02
-1.764281     	1.832828e+05	1.763802e+05	0.000000e+00	6.816379e+02	6.783568e+02
-1.754281     	1.833056e+05	1.764049e+05	0.000000e+00	6.827454e+02	6.793867e+02
-1.744281     	1.832607e+05	1.763619e+05	0.000000e+00	6.838413e+02	6.804048e+02
-1.734281     	1.832635e+05	1.763666e+05	0.000000e+00	6.849254e+02	6.814110e+02
-1.724281     	1.833003e+05	1.764052e+05	0.000000e+00	6.859977e+02	6.824051e+02
-1.714281     	1.833359e+05	1.764426e+05	0.000000e+00	6.870579e+02	6.833871e+02
-1.704281     	1.833701e+05	1.764787e+05	0.000000e+00	6.881059e+02	6.843568e+02
-1.694281     	1.834387e+05	1.765490e+05	0.000000e+00	6.891417e+02	6.853143e+02
-1.684281     	1.835315e+05	1.766436e+05	0.000000e+00	6.901651e+02	6.862594e+02
-1.674281     	1.835395e+05	1.766533e+05	0.000000e+00	6.911762e+02	6.871921e+02
-1.664281     	1.834858e+05	1.766013e+05	0.000000e+00	6.921749e+02	6.881126e+02
-1.654281     	1.834734e+05	1.765906e+05	0.000000e+00	6.931615e+02	6.890211e+02
-1.644281     	1.834902e+05	1.766091e+05	0.000000e+00	6.941358e+02	6.899175e+02
-1.634281     	1.835367e+05	1.766572e+05	0.000000e+00	6.950979e+02	6.908019e+02
-1.624281     	1.836042e+05	1.767263e+05	0.000000e+00	6.960477e+02	6.916743e+02
-1.614281     	1.835932e+05	1.767170e+05	0.000000e+00	6.969854e+02	6.925346e+02
-1.604281     	1.835254e+05	1.766507e+05	0.000000e+00	6.979111e+02	6.933833e+02
-1.594281     	1.834972e+05	1.766241e+05	0.000000e+00	6.988250e+02	6.942204e+02
-1.584281     	1.834975e+05	1.766259e+05	0.000000e+00	6.997270e+02	6.950461e+02
-1.574281     	1.835287e+05	1.766587e+05	0.000000e+00	7.006174e+02	6.958604e+02
-1.564281     	1.835823e+05	1.767137e+05	0.000000e+00	7.014959e+02	6.966633e+02
-1.554281     	1.835945e+05	1.767274e+05	0.000000e+00	7.023628e+02	6.974548e+02
-1.544281     	1.835770e+05	1.767114e+05	0.000000e+00	7.032181e+02	6.982351e+02
-1.534281     	1.835284e+05	1.766642e+05	0.000000e+00	7.040621e+02	6.990045e+02
-1.524281     	1.834573e+05	1.765944e+05	0.000000e+00	7.048950e+02	6.997633e+02
-1.514281     	1.834245e+05	1.765630e+05	0.000000e+00	7.057170e+02	7.005117e+02
-1.504281     	1.834193e+05	1.765593e+05	0.000000e+00	7.065281e+02	7.012496e+02
-1.494281     	1.834416e+05	1.765829e+05	0.000000e+00	7.073283e+02	7.019773e+02
-1.484281     	1.834838e+05	1.766265e+05	0.000000e+00	7.081177e+02	7.026945e+02
-1.474281     	1.834615e+05	1.766054e+05	0.000000e+00	7.088965e+02	7.034014e+02
-1.464281     	1.833925e+05	1.765378e+05	0.000000e+00	7.096648e+02	7.040985e+02
-1.454281     	1.833588e+05	1.765054e+05	0.000000e+00	7.104229e+02	7.047859e+02
-1.444281     	1.833505e+05	1.764983e+05	0.000000e+00	7.111708e+02	7.054637e+02
-1.434281     	1.833419e+05	1.764909e+05	0.000000e+00	7.119087e+02	7.061319e+02
-1.424281     	1.833331e+05	1.764834e+05	0.000000e+00	7.126366e+02	7.067907e+02
-1.414281     	1.833245e+05	1.764759e+05	0.000000e+00	7.133546e+02	7.074402e+02
-1.404281     	1.833159e+05	1.764686e+05	0.000000e+00	7.140629e+02	7.080805e+02
-1.394281     	1.833076e+05	1.764615e+05	0.000000e+00	7.147616e+02	7.087116e+02
-1.384281     	1.832996e+05	1.764546e+05	0.000000e+00	7.154507e+02	7.093338e+02
-1.374281     	1.832918e+05	1.764480e+05	0.000000e+00	7.161304e+02	7.099471e+02
-1.364281     	1.832842e+05	1.764415e+05	0.000000e+00	7.168007e+02	7.105516e+02
-1.354281     	1.832770e+05	1.764354e+05	0.000000e+00	7.174619e+02	7.111474e+02
-1.344281     	1.832701e+05	1.764295e+05	0.000000e+00	7.181140e+02	7.117348e+02
-1.334281     	1.832632e+05	1.764238e+05	0.000000e+00	7.187571e+02	7.123136e+02
-1.324281     	1.832565e+05	1.764181e+05	0.000000e+00	7.193913e+02	7.128842e+02
-1.314281     	1.832499e+05	1.764126e+05	0.000000e+00	7.200167e+02	7.134465e+02
-1.304281     	1.832434e+05	1.764071e+05	0.000000e+00	7.206334e+02	7.140007e+02
-1.294281     	1.832372e+05	1.764020e+05	0.000000e+00	7.212416e+02	7.145469e+02
-1.284281     	1.832311e+05	1.763968e+05	0.000000e+00	7.218413e+02	7.150851e+02
-1.274281     	1.832251e+05	1.763918e+05	0.000000e+00	7.224326e+02	7.156156e+02
-1.264281     	1.832193e+05	1.763869e+05	0.000000e+00	7.230157e+02	7.161384e+02
-1.254281     	1.832136e+05	1.763822e+05	0.000000e+00	7.235907e+02	7.166536e+02
