# Region      : cellSet Z1128
# Cells       : 7
# Volume      : 4.514839e-07
# Time        	volAverage(p)	volAverage(p_rgh)	volAverage(alpha.vapour)	volAverage(T.passiveStructure)	volAverage(T.liquid)
-1.724281     	1.253687e+05	1.235821e+05	0.000000e+00	0.000000e+00	6.602369e+02
-1.714281     	1.254156e+05	1.236293e+05	0.000000e+00	0.000000e+00	6.607815e+02
-1.704281     	1.254593e+05	1.236732e+05	0.000000e+00	0.000000e+00	6.613389e+02
-1.694281     	1.255143e+05	1.237285e+05	0.000000e+00	0.000000e+00	6.619084e+02
-1.684281     	1.255753e+05	1.237898e+05	0.000000e+00	0.000000e+00	6.624895e+02
-1.674281     	1.255967e+05	1.238114e+05	0.000000e+00	0.000000e+00	6.630814e+02
-1.664281     	1.255911e+05	1.238061e+05	0.000000e+00	0.000000e+00	6.636835e+02
-1.654281     	1.256028e+05	1.238181e+05	0.000000e+00	0.000000e+00	6.642951e+02
-1.644281     	1.256245e+05	1.238401e+05	0.000000e+00	0.000000e+00	6.649157e+02
-1.634281     	1.256552e+05	1.238711e+05	0.000000e+00	0.000000e+00	6.655450e+02
-1.624281     	1.256907e+05	1.239069e+05	0.000000e+00	0.000000e+00	6.661826e+02
-1.614281     	1.256897e+05	1.239062e+05	0.000000e+00	0.000000e+00	6.668280e+02
-1.604281     	1.256643e+05	1.238811e+05	0.000000e+00	0.000000e+00	6.674806e+02
-1.594281     	1.256564e+05	1.238735e+05	0.000000e+00	0.000000e+00	6.681400e+02
-1.584281     	1.256593e+05	1.238767e+05	0.000000e+00	0.000000e+00	6.688057e+02
-1.574281     	1.256732e+05	1.238910e+05	0.000000e+00	0.000000e+00	6.694778e+02
-1.564281     	1.256941e+05	1.239122e+05	0.000000e+00	0.000000e+00	6.701558e+02
-1.554281     	1.256953e+05	1.239137e+05	0.000000e+00	0.000000e+00	6.708396e+02
-1.544281     	1.256838e+05	1.239026e+05	0.000000e+00	0.000000e+00	6.715286e+02
-1.534281     	1.256602e+05	1.238793e+05	0.000000e+00	0.000000e+00	6.722224e+02
-1.524281     	1.256288e+05	1.238483e+05	0.000000e+00	0.000000e+00	6.729206e+02
-1.514281     	1.256152e+05	1.238350e+05	0.000000e+00	0.000000e+00	6.736228e+02
-1.504281     	1.256132e+05	1.238333e+05	0.000000e+00	0.000000e+00	6.743289e+02
-1.494281     	1.256217e+05	1.238422e+05	0.000000e+00	0.000000e+00	6.750389e+02
-1.484281     	1.256371e+05	1.238579e+05	0.000000e+00	0.000000e+00	6.757525e+02
-1.474281     	1.256242e+05	1.238453e+05	0.000000e+00	0.000000e+00	6.764695e+02
-1.464281     	1.255931e+05	1.238146e+05	0.000000e+00	0.000000e+00	6.771894e+02
-1.454281     	1.255790e+05	1.238008e+05	0.000000e+00	0.000000e+00	6.779119e+02
-1.444281     	1.255758e+05	1.237980e+05	0.000000e+00	0.000000e+00	6.786369e+02
-1.434281     	1.255722e+05	1.237947e+05	0.000000e+00	0.000000e+00	6.793643e+02
-1.424281     	1.255683e+05	1.237911e+05	0.000000e+00	0.000000e+00	6.800938e+02
-1.414281     	1.255642e+05	1.237874e+05	0.000000e+00	0.000000e+00	6.808253e+02
-1.404281     	1.255602e+05	1.237837e+05	0.000000e+00	0.000000e+00	6.815585e+02
-1.394281     	1.255562e+05	1.237801e+05	0.000000e+00	0.000000e+00	6.822935e+02
-1.384281     	1.255523e+05	1.237766e+05	0.000000e+00	0.000000e+00	6.830299e+02
-1.374281     	1.255486e+05	1.237732e+05	0.000000e+00	0.000000e+00	6.837675e+02
-1.364281     	1.255449e+05	1.237699e+05	0.000000e+00	0.000000e+00	6.845063e+02
-1.354281     	1.255414e+05	1.237667e+05	0.000000e+00	0.000000e+00	6.852461e+02
-1.344281     	1.255381e+05	1.237637e+05	0.000000e+00	0.000000e+00	6.859867e+02
-1.334281     	1.255347e+05	1.237608e+05	0.000000e+00	0.000000e+00	6.867280e+02
-1.324281     	1.255315e+05	1.237578e+05	0.000000e+00	0.000000e+00	6.874697e+02
-1.314281     	1.255283e+05	1.237550e+05	0.000000e+00	0.000000e+00	6.882119e+02
-1.304281     	1.255251e+05	1.237522e+05	0.000000e+00	0.000000e+00	6.889542e+02
-1.294281     	1.255221e+05	1.237495e+05	0.000000e+00	0.000000e+00	6.896967e+02
-1.284281     	1.255191e+05	1.237469e+05	0.000000e+00	0.000000e+00	6.904391e+02
-1.274281     	1.255162e+05	1.237443e+05	0.000000e+00	0.000000e+00	6.911813e+02
-1.264281     	1.255133e+05	1.237418e+05	0.000000e+00	0.000000e+00	6.919233e+02
-1.254281     	1.255105e+05	1.237394e+05	0.000000e+00	0.000000e+00	6.926648e+02
