time;prec0;prec1;prec2;prec3;prec4;prec5;prec6;prec7
67;77229.93;309826.1;82971.1;63039.81;61191.38;11962.02;4108.646;917.7835
68;77229.84;309825.7;82971;63039.73;61191.31;11962.01;4108.641;917.7823
69;77230;309826.3;82971.17;63039.86;61191.44;11962.03;4108.65;917.7843
70;77229.93;309826.1;82971.1;63039.81;61191.38;11962.02;4108.646;917.7835
71;77229.83;309825.7;82970.99;63039.73;61191.3;11962.01;4108.641;917.7823
72;77229.76;309825.4;82970.92;63039.67;61191.25;11961.99;4108.637;917.7815
73;77229.81;309825.6;82970.97;63039.7;61191.28;11962;4108.639;917.782
74;77229.79;309825.5;82970.94;63039.69;61191.27;11962;4108.638;917.7817
75;77229.73;309825.3;82970.89;63039.65;61191.23;11961.99;4108.636;917.7811
76;77229.79;309825.5;82970.94;63039.69;61191.27;11962;4108.638;917.7817
77;77229.74;309825.3;82970.9;63039.65;61191.23;11961.99;4108.636;917.7812
78;77229.75;309825.3;82970.9;63039.65;61191.24;11961.99;4108.636;917.7813
79;77229.71;309825.2;82970.86;63039.62;61191.21;11961.99;4108.634;917.7808
80;77229.76;309825.4;82970.92;63039.67;61191.25;11961.99;4108.637;917.7814
81;77229.73;309825.3;82970.88;63039.64;61191.22;11961.99;4108.635;917.7811
82;77229.74;309825.3;82970.9;63039.65;61191.23;11961.99;4108.636;917.7812
83;77229.72;309825.2;82970.87;63039.63;61191.21;11961.99;4108.635;917.7809
84;77229.69;309825.1;82970.84;63039.61;61191.19;11961.98;4108.633;917.7806
85;77229.75;309825.4;82970.91;63039.66;61191.24;11961.99;4108.637;917.7814
86;77229.73;309825.3;82970.89;63039.65;61191.23;11961.99;4108.636;917.7811
87;77229.72;309825.2;82970.87;63039.63;61191.21;11961.99;4108.635;917.7809
88;77229.7;309825.1;82970.85;63039.62;61191.2;11961.98;4108.634;917.7807
89;77229.73;309825.3;82970.88;63039.64;61191.22;11961.99;4108.635;917.7811
90;77229.72;309825.2;82970.87;63039.63;61191.21;11961.99;4108.635;917.7809
91;77229.7;309825.1;82970.85;63039.62;61191.2;11961.99;4108.634;917.7807
92;77229.69;309825.1;82970.84;63039.61;61191.19;11961.98;4108.633;917.7806
93;77229.68;309825.1;82970.83;63039.6;61191.18;11961.98;4108.633;917.7805
94;77229.74;309825.3;82970.9;63039.65;61191.23;11961.99;4108.636;917.7812
95;77229.73;309825.3;82970.89;63039.65;61191.23;11961.99;4108.636;917.7811
96;77229.73;309825.2;82970.88;63039.64;61191.22;11961.99;4108.635;917.781
97;77229.72;309825.2;82970.87;63039.63;61191.21;11961.99;4108.635;917.7809
98;77229.71;309825.2;82970.86;63039.63;61191.21;11961.99;4108.634;917.7808
99;77229.7;309825.2;82970.86;63039.62;61191.2;11961.99;4108.634;917.7808
